tamil,brahmi
போயினான் சென்றான் புரிந்து,𑀧𑁆𑀬𑀺𑀦𑁆𑀦𑀸𑀦𑁆𑀦𑀺 𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀦𑁆𑀦𑀺 𑀧𑀼𑀭𑀺𑀦𑀺𑀢𑀼
உருகுமால் உள்ளம் ஒருநாளும் அன்றால்,𑀉𑀭𑀼𑀓𑀼𑀫𑀸𑀮𑀺 𑀉𑀴𑀺𑀴𑀫𑀺 𑀒𑀭𑀼𑀦𑀸𑀴𑀼𑀫𑀺 𑀅𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀮𑀺
பெருகுமால் நம்அலர் பேணப் பெருகா,𑀧𑁂𑀭𑀼𑀓𑀼𑀫𑀸𑀮𑀺 𑀦𑀫𑀺𑀅𑀮𑀭𑀺 𑀧𑁃𑀡𑀧𑀺 𑀧𑁂𑀭𑀼𑀓𑀸
ஒருங்குவால் மின்னோடு உருமுடைத்தாய் பெய்வான்,𑀒𑀭𑀼𑀗𑀺𑀓𑀼𑀯𑀸𑀮𑀺 𑀫𑀺𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁆𑀝𑀼 𑀉𑀭𑀼𑀫𑀼𑀝𑁄𑀢𑀺𑀢𑀸𑀬𑀺 𑀧𑁂𑀬𑀺𑀯𑀸𑀦𑁆𑀦𑀺
நெருங்குவான் போல நெகிழ்ந்து,𑀦𑁂𑀭𑀼𑀗𑀺𑀓𑀼𑀯𑀸𑀦𑁆𑀦𑀺 𑀧𑁆𑀮 𑀦𑁂𑀓𑀺𑀰𑀺𑀦𑀺𑀢𑀼
கவளக் களிப்பியனமால் யானைசிற் றாளி,𑀓𑀯𑀴𑀓𑀺 𑀓𑀴𑀺𑀧𑀺𑀧𑀺𑀬𑀦𑁆𑀦𑀫𑀸𑀮𑀺 𑀬𑀸𑀦𑁆𑀦𑁄𑀘𑀺𑀭𑁆𑀭𑀺 𑀭𑁆𑀭𑀸𑀴𑀺
தவழத்தான் நில்லா ததுபோல் பவளக்,𑀢𑀯𑀰𑀢𑀺𑀢𑀸𑀦𑁆𑀦𑀺 𑀦𑀺𑀮𑀺𑀮𑀸 𑀢𑀢𑀼𑀧𑁆𑀮𑀺 𑀧𑀯𑀴𑀓𑀺
கடிகை யிடைமுத்தம் காண்தொறும் நில்லா,𑀓𑀝𑀺𑀓𑁄 𑀬𑀺𑀝𑁄𑀫𑀼𑀢𑀺𑀢𑀫𑀺 𑀓𑀸𑀡𑀺𑀢𑁅𑀭𑁆𑀭𑀼𑀫𑀺 𑀦𑀺𑀮𑀺𑀮𑀸
தொடிகை யிடைமுத்தம் தொக்கு,𑀢𑁅𑀝𑀺𑀓𑁄 𑀬𑀺𑀝𑁄𑀫𑀼𑀢𑀺𑀢𑀫𑀺 𑀢𑁅𑀓𑀺𑀓𑀼
கடற்கோடு இருமருப்புக் கால்பாக னாக,𑀓𑀝𑀭𑁆𑀭𑀺𑀓𑁆𑀝𑀼 𑀇𑀭𑀼𑀫𑀭𑀼𑀧𑀺𑀧𑀼𑀓𑀺 𑀓𑀸𑀮𑀺𑀧𑀸𑀓 𑀦𑁆𑀦𑀸𑀓
அடற்கோட் டியானை திரையா உடற்றிக்,𑀅𑀝𑀭𑁆𑀭𑀺𑀓𑁆𑀝𑀺 𑀝𑀺𑀬𑀸𑀦𑁆𑀦𑁄 𑀢𑀺𑀭𑁄𑀬𑀸 𑀉𑀝𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺𑀓𑀺
கரைபாய்நீள் சேர்ப்ப கனையிருள் வாரல்,𑀓𑀭𑁄𑀧𑀸𑀬𑀺𑀦𑀻𑀴𑀺 𑀘𑁃𑀭𑀺𑀧𑀺𑀧 𑀓𑀦𑁆𑀦𑁄𑀬𑀺𑀭𑀼𑀴𑀺 𑀯𑀸𑀭𑀮𑀺
வரைவாய்நீ யாகவே வா,𑀯𑀭𑁄𑀯𑀸𑀬𑀺𑀦𑀻 𑀬𑀸𑀓𑀯𑁃 𑀯𑀸
கடும்புலால் புன்னை கடியும் துறைவ,𑀓𑀝𑀼𑀫𑀺𑀧𑀼𑀮𑀸𑀮𑀺 𑀧𑀼𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄 𑀓𑀝𑀺𑀬𑀼𑀫𑀺 𑀢𑀼𑀭𑁆𑀭𑁄𑀯
படும்புலால் புட்கடிவான் புக்க தடம்புலாம்,𑀧𑀝𑀼𑀫𑀺𑀧𑀼𑀮𑀸𑀮𑀺 𑀧𑀼𑀝𑀺𑀓𑀝𑀺𑀯𑀸𑀦𑁆𑀦𑀺 𑀧𑀼𑀓𑀺𑀓 𑀢𑀝𑀫𑀺𑀧𑀼𑀮𑀸𑀫𑀺
தாழையா ஞாழல் ததைந்துயர்ந்த தாய்பொழில்,𑀢𑀸𑀰𑁄𑀬𑀸 𑀜𑀸𑀰𑀮𑀺 𑀢𑀢𑁄𑀦𑀺𑀢𑀼𑀬𑀭𑀺𑀦𑀺𑀢 𑀢𑀸𑀬𑀺𑀧𑁅𑀰𑀺𑀮𑀺
எழைமான் நோக்கி இடம்,𑀏𑀰𑁄𑀫𑀸𑀦𑁆𑀦𑀺 𑀦𑁆𑀓𑀺𑀓𑀺 𑀇𑀝𑀫𑀺
தாழை தவழ்ந்துலாம் வெண்மணல் தண்கானல்,𑀢𑀸𑀰𑁄 𑀢𑀯𑀰𑀺𑀦𑀺𑀢𑀼𑀮𑀸𑀫𑀺 𑀯𑁂𑀡𑀺𑀫𑀡𑀮𑀺 𑀢𑀡𑀺𑀓𑀸𑀦𑁆𑀦𑀮𑀺
மாழை நுளையர் மடமகள் ஏழை,𑀫𑀸𑀰𑁄 𑀦𑀼𑀴𑁄𑀬𑀭𑀺 𑀫𑀝𑀫𑀓𑀴𑀺 𑀐𑀰𑁄
இணைநாடில் இல்லா இருந்தடங்கண் கண்டும்,𑀇𑀡𑁄𑀦𑀸𑀝𑀺𑀮𑀺 𑀇𑀮𑀺𑀮𑀸 𑀇𑀭𑀼𑀦𑀺𑀢𑀝𑀗𑀺𑀓𑀡𑀺 𑀓𑀡𑀺𑀝𑀼𑀫𑀺
துணைநாடி னன்தோம் இலன்,𑀢𑀼𑀡𑁄𑀦𑀸𑀝𑀺 𑀦𑁆𑀦𑀦𑁆𑀦𑀺𑀢𑁆𑀫𑀺 𑀇𑀮𑀦𑁆𑀦𑀺
தந்துஆயல் வேண்டாஓர் நாட்கேட்டுத் தாழாது,𑀢𑀦𑀺𑀢𑀼𑀆𑀬𑀮𑀺 𑀯𑁃𑀡𑀺𑀝𑀸𑀓𑀭𑀺 𑀦𑀸𑀝𑀺𑀓𑁃𑀝𑀺𑀝𑀼𑀢𑀺 𑀢𑀸𑀰𑀸𑀢𑀼
வந்தால்நீ எய்துதல் வாயால்மற்று எந்தாய்,𑀯𑀦𑀺𑀢𑀸𑀮𑀺𑀦𑀻 𑀏𑀬𑀺𑀢𑀼𑀢𑀮𑀺 𑀯𑀸𑀬𑀸𑀮𑀺𑀫𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀼 𑀏𑀦𑀺𑀢𑀸𑀬𑀺
மறிமகர வார்குழையாள் வாழாள்நீ வாரல்,𑀫𑀭𑁆𑀭𑀺𑀫𑀓𑀭 𑀯𑀸𑀭𑀺𑀓𑀼𑀰𑁄𑀬𑀸𑀴𑀺 𑀯𑀸𑀰𑀸𑀴𑀺𑀦𑀻 𑀯𑀸𑀭𑀮𑀺
எறிமகரம் கொட்கும் இரா,𑀏𑀭𑁆𑀭𑀺𑀫𑀓𑀭𑀫𑀺 𑀓𑁅𑀝𑀺𑀓𑀼𑀫𑀺 𑀇𑀭𑀸
பண்ணாது பண்மேல்தே பாடும் கழிக்கானல்,𑀧𑀡𑀺𑀡𑀸𑀢𑀼 𑀧𑀡𑀺𑀫𑁃𑀮𑀺𑀢𑁃 𑀧𑀸𑀝𑀼𑀫𑀺 𑀓𑀰𑀺𑀓𑀺𑀓𑀸𑀦𑁆𑀦𑀮𑀺
எண்ணாது கண்டார்க்கே ஏரணங்கால் எண்ணாது,𑀏𑀡𑀺𑀡𑀸𑀢𑀼 𑀓𑀡𑀺𑀝𑀸𑀭𑀺𑀓𑀺𑀓𑁃 𑀐𑀭𑀡𑀗𑀺𑀓𑀸𑀮𑀺 𑀏𑀡𑀺𑀡𑀸𑀢𑀼
சாவார்சான் றாண்மை சலித்திலா மற்றிவளைக்,𑀘𑀸𑀯𑀸𑀭𑀺𑀘𑀸𑀦𑁆𑀦𑀺 𑀭𑁆𑀭𑀸𑀡𑀺𑀫𑁄 𑀘𑀮𑀺𑀢𑀺𑀢𑀺𑀮𑀸 𑀫𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺𑀯𑀴𑁄𑀓𑀺
காவார் கயிறுரீஇ விட்டார்,𑀓𑀸𑀯𑀸𑀭𑀺 𑀓𑀬𑀺𑀭𑁆𑀭𑀼𑀭𑀻𑀇 𑀯𑀺𑀝𑀺𑀝𑀸𑀭𑀺
திரை மேற்போந்து எஞ்சிய தெள்கழிக் கானல்,𑀢𑀺𑀭𑁄 𑀫𑁃𑀭𑁆𑀭𑀺𑀧𑁆𑀦𑀺𑀢𑀼 𑀏𑀜𑀺𑀘𑀺𑀬 𑀢𑁂𑀴𑀺𑀓𑀰𑀺𑀓𑀺 𑀓𑀸𑀦𑁆𑀦𑀮𑀺
விரைமேவும் பாக்கம் விளக்காக் கரைமேல்,𑀯𑀺𑀭𑁄𑀫𑁃𑀯𑀼𑀫𑀺 𑀧𑀸𑀓𑀺𑀓𑀫𑀺 𑀯𑀺𑀴𑀓𑀺𑀓𑀸𑀓𑀺 𑀓𑀭𑁄𑀫𑁃𑀮𑀺
விடுவாய் பசும்புற இப்பிகால் முத்தம்,𑀯𑀺𑀝𑀼𑀯𑀸𑀬𑀺 𑀧𑀘𑀼𑀫𑀺𑀧𑀼𑀭𑁆𑀭 𑀇𑀧𑀺𑀧𑀺𑀓𑀸𑀮𑀺 𑀫𑀼𑀢𑀺𑀢𑀫𑀺
படுவாய் இருளகற்றும் பாத்து,𑀧𑀝𑀼𑀯𑀸𑀬𑀺 𑀇𑀭𑀼𑀴𑀓𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀼𑀫𑀺 𑀧𑀸𑀢𑀺𑀢𑀼
எங்கு வருதி இருங்கழித் தண்சேர்ப்ப,𑀏𑀗𑀺𑀓𑀼 𑀯𑀭𑀼𑀢𑀺 𑀇𑀭𑀼𑀗𑀺𑀓𑀰𑀺𑀢𑀺 𑀢𑀡𑀺𑀘𑁃𑀭𑀺𑀧𑀺𑀧
பொங்கு திரையுதைப்பப் போந்தெழிந்த சங்கு,𑀧𑁅𑀗𑀺𑀓𑀼 𑀢𑀺𑀭𑁄𑀬𑀼𑀢𑁄𑀧𑀺𑀧𑀧𑀺 𑀧𑁆𑀦𑀺𑀢𑁂𑀰𑀺𑀦𑀺𑀢 𑀘𑀗𑀺𑀓𑀼
நரன்யியிர்த்த நித்திலம் நள்ளிருள்கால் சீக்கும்,𑀦𑀭𑀦𑁆𑀦𑀺𑀬𑀺𑀬𑀺𑀭𑀺𑀢𑀺𑀢 𑀦𑀺𑀢𑀺𑀢𑀺𑀮𑀫𑀺 𑀦𑀴𑀺𑀴𑀺𑀭𑀼𑀴𑀺𑀓𑀸𑀮𑀺 𑀘𑀻𑀓𑀺𑀓𑀼𑀫𑀺
வரன்றுயிர்த்த பாக்கத்து வந்து,𑀯𑀭𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼𑀬𑀺𑀭𑀺𑀢𑀺𑀢 𑀧𑀸𑀓𑀺𑀓𑀢𑀺𑀢𑀼 𑀯𑀦𑀺𑀢𑀼
திமில்களி றாகத் திரைபறையாப் பல்புள்,𑀢𑀺𑀫𑀺𑀮𑀺𑀓𑀴𑀺 𑀭𑁆𑀭𑀸𑀓𑀢𑀺 𑀢𑀺𑀭𑁄𑀧𑀭𑁆𑀭𑁄𑀬𑀸𑀧𑀺 𑀧𑀮𑀺𑀧𑀼𑀴𑀺
துயில்கெடத் தோன்றும் படையாத் துயில்போல்,𑀢𑀼𑀬𑀺𑀮𑀺𑀓𑁂𑀝𑀢𑀺 𑀢𑁆𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼𑀫𑀺 𑀧𑀝𑁄𑀬𑀸𑀢𑀺 𑀢𑀼𑀬𑀺𑀮𑀺𑀧𑁆𑀮𑀺
குறியா வரவொழிந்து கோலநீர்ச் சேர்ப்ப,𑀓𑀼𑀭𑁆𑀭𑀺𑀬𑀸 𑀯𑀭𑀯𑁅𑀰𑀺𑀦𑀺𑀢𑀼 𑀓𑁆𑀮𑀦𑀻𑀭𑀺𑀘𑀺 𑀘𑁃𑀭𑀺𑀧𑀺𑀧
நெறியால்நீ கொள்வது நேர்,𑀦𑁂𑀭𑁆𑀭𑀺𑀬𑀸𑀮𑀺𑀦𑀻 𑀓𑁅𑀴𑀺𑀯𑀢𑀼 𑀦𑁃𑀭𑀺
கடும்புலால் வெண்மணற் கானலுறு மீன்கண்,𑀓𑀝𑀼𑀫𑀺𑀧𑀼𑀮𑀸𑀮𑀺 𑀯𑁂𑀡𑀺𑀫𑀡𑀭𑁆𑀭𑀺 𑀓𑀸𑀦𑁆𑀦𑀮𑀼𑀭𑁆𑀭𑀼 𑀫𑀻𑀦𑁆𑀦𑀺𑀓𑀡𑀺
படும்புலால் பார்த்தும் பகர்தும் அடும்பெலாம்,𑀧𑀝𑀼𑀫𑀺𑀧𑀼𑀮𑀸𑀮𑀺 𑀧𑀸𑀭𑀺𑀢𑀺𑀢𑀼𑀫𑀺 𑀧𑀓𑀭𑀺𑀢𑀼𑀫𑀺 𑀅𑀝𑀼𑀫𑀺𑀧𑁂𑀮𑀸𑀫𑀺
சாலிகை போல்வலை சாலம் பலவுணங்கும்,𑀘𑀸𑀮𑀺𑀓𑁄 𑀧𑁆𑀮𑀺𑀯𑀮𑁄 𑀘𑀸𑀮𑀫𑀺 𑀧𑀮𑀯𑀼𑀡𑀗𑀺𑀓𑀼𑀫𑀺
பாலிகை பூக்கும் பயின்று,𑀧𑀸𑀮𑀺𑀓𑁄 𑀧𑀽𑀓𑀺𑀓𑀼𑀫𑀺 𑀧𑀬𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
திரைபாக னாகத் திமில்களி றாகக்,𑀢𑀺𑀭𑁄𑀧𑀸𑀓 𑀦𑁆𑀦𑀸𑀓𑀢𑀺 𑀢𑀺𑀫𑀺𑀮𑀺𑀓𑀴𑀺 𑀭𑁆𑀭𑀸𑀓𑀓𑀺
கரைசேர்ந்த கானல் படையா விரையாது,𑀓𑀭𑁄𑀘𑁃𑀭𑀺𑀦𑀺𑀢 𑀓𑀸𑀦𑁆𑀦𑀮𑀺 𑀧𑀝𑁄𑀬𑀸 𑀯𑀺𑀭𑁄𑀬𑀸𑀢𑀼
வேந்து கிளர்ந்தன்ன வேலைநீர்ச் சேர்ப்ப நாள்,𑀯𑁃𑀦𑀺𑀢𑀼 𑀓𑀺𑀴𑀭𑀺𑀦𑀺𑀢𑀦𑁆𑀦𑀺𑀦𑁆𑀦 𑀯𑁃𑀮𑁄𑀦𑀻𑀭𑀺𑀘𑀺 𑀘𑁃𑀭𑀺𑀧𑀺𑀧 𑀦𑀸𑀴𑀺
ஆய்ந்து வரைதல் அறம்,𑀆𑀬𑀺𑀦𑀺𑀢𑀼 𑀯𑀭𑁄𑀢𑀮𑀺 𑀅𑀭𑁆𑀭𑀫𑀺
பாறு புரவியாப் பல்களிறு நீள்திமிலாத்தேறு,𑀧𑀸𑀭𑁆𑀭𑀼 𑀧𑀼𑀭𑀯𑀺𑀬𑀸𑀧𑀺 𑀧𑀮𑀺𑀓𑀴𑀺𑀭𑁆𑀭𑀼 𑀦𑀻𑀴𑀺𑀢𑀺𑀫𑀺𑀮𑀸𑀢𑀺𑀢𑁃𑀭𑁆𑀭𑀼
திரைபறையாப் புட்படையாத் தேறாத,𑀢𑀺𑀭𑁄𑀧𑀭𑁆𑀭𑁄𑀬𑀸𑀧𑀺 𑀧𑀼𑀝𑀺𑀧𑀝𑁄𑀬𑀸𑀢𑀺 𑀢𑁃𑀭𑁆𑀭𑀸𑀢
மன்கிளர்ந்த போலும் கடற்சேர்ப்ப மற்றெமர்,𑀫𑀦𑁆𑀦𑀺𑀓𑀺𑀴𑀭𑀺𑀦𑀺𑀢 𑀧𑁆𑀮𑀼𑀫𑀺 𑀓𑀝𑀭𑁆𑀭𑀺𑀘𑁃𑀭𑀺𑀧𑀺𑀧 𑀫𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑁂𑀫𑀭𑀺
முன்கிளர்ந்து எய்தல் முடி,𑀫𑀼𑀦𑁆𑀦𑀺𑀓𑀺𑀴𑀭𑀺𑀦𑀺𑀢𑀼 𑀏𑀬𑀺𑀢𑀮𑀺 𑀫𑀼𑀝𑀺
வாராய் வான்நீர்க் கழிக்கானல் நுண்மணல்மேல்,𑀯𑀸𑀭𑀸𑀬𑀺 𑀯𑀸𑀦𑁆𑀦𑀺𑀦𑀻𑀭𑀺𑀓𑀺 𑀓𑀰𑀺𑀓𑀺𑀓𑀸𑀦𑁆𑀦𑀮𑀺 𑀦𑀼𑀡𑀺𑀫𑀡𑀮𑀺𑀫𑁃𑀮𑀺
தேரின்மா காலாழும் தீமைத்தே ஓரில்ஓர்,𑀢𑁃𑀭𑀺𑀦𑁆𑀦𑀺𑀫𑀸 𑀓𑀸𑀮𑀸𑀰𑀼𑀫𑀺 𑀢𑀻𑀫𑁄𑀢𑀺𑀢𑁃 𑀓𑀭𑀺𑀮𑀺𑀓𑀭𑀺
கோள்நாடல் வேண்டா குறியறிவார்க் கூஉய்க் கொண்டோர்,𑀓𑁆𑀴𑀺𑀦𑀸𑀝𑀮𑀺 𑀯𑁃𑀡𑀺𑀝𑀸 𑀓𑀼𑀭𑁆𑀭𑀺𑀬𑀭𑁆𑀭𑀺𑀯𑀸𑀭𑀺𑀓𑀺 𑀓𑀽𑀉𑀬𑀺𑀓𑀺 𑀓𑁅𑀡𑀺𑀝𑁆𑀭𑀺
நாள் நாடி நல்குதல் நன்று,𑀦𑀸𑀴𑀺 𑀦𑀸𑀝𑀺 𑀦𑀮𑀺𑀓𑀼𑀢𑀮𑀺 𑀦𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
கண்பரப்பக் காணாய் கடும்பனி கால்வல்தேர்,𑀓𑀡𑀺𑀧𑀭𑀧𑀺𑀧𑀓𑀺 𑀓𑀸𑀡𑀸𑀬𑀺 𑀓𑀝𑀼𑀫𑀺𑀧𑀦𑁆𑀦𑀺 𑀓𑀸𑀮𑀺𑀯𑀮𑀺𑀢𑁃𑀭𑀺
மண்பரக்கும் மாயிருள் மேற்கொண்டு மண்பரக்கும்,𑀫𑀡𑀺𑀧𑀭𑀓𑀺𑀓𑀼𑀫𑀺 𑀫𑀸𑀬𑀺𑀭𑀼𑀴𑀺 𑀫𑁃𑀭𑁆𑀭𑀺𑀓𑁅𑀡𑀺𑀝𑀼 𑀫𑀡𑀺𑀧𑀭𑀓𑀺𑀓𑀼𑀫𑀺
ஆறுநீர் வேலைநீ வாரல் வரின்ஆற்றாள்,𑀆𑀭𑁆𑀭𑀼𑀦𑀻𑀭𑀺 𑀯𑁃𑀮𑁄𑀦𑀻 𑀯𑀸𑀭𑀮𑀺 𑀯𑀭𑀺𑀦𑁆𑀦𑀺𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀸𑀴𑀺
ஏறுநீர் வேலை எதிர்,𑀐𑀭𑁆𑀭𑀼𑀦𑀻𑀭𑀺 𑀯𑁃𑀮𑁄 𑀏𑀢𑀺𑀭𑀺
கடற்கானல் சேர்ப்ப கழியுலாஅய் நீண்ட,𑀓𑀝𑀭𑁆𑀭𑀺𑀓𑀸𑀦𑁆𑀦𑀮𑀺 𑀘𑁃𑀭𑀺𑀧𑀺𑀧 𑀓𑀰𑀺𑀬𑀼𑀮𑀸𑀅𑀬𑀺 𑀦𑀻𑀡𑀺𑀝
அடற்கானல் புன்னைதாழ்ந்து ஆற்ற மடற்கானல்,𑀅𑀝𑀭𑁆𑀭𑀺𑀓𑀸𑀦𑁆𑀦𑀮𑀺 𑀧𑀼𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄𑀢𑀸𑀰𑀺𑀦𑀺𑀢𑀼 𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭 𑀫𑀝𑀭𑁆𑀭𑀺𑀓𑀸𑀦𑁆𑀦𑀮𑀺
அன்றில் அகவும் அணிநெடும் பெண்ணைத்துஎம்,𑀅𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀺𑀮𑀺 𑀅𑀓𑀯𑀼𑀫𑀺 𑀅𑀡𑀺𑀦𑁂𑀝𑀼𑀫𑀺 𑀧𑁂𑀡𑀺𑀡𑁄𑀢𑀺𑀢𑀼𑀏𑀫𑀺
முன்றில் இளமணல்மேல் மொய்த்து,𑀫𑀼𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀺𑀮𑀺 𑀇𑀴𑀫𑀡𑀮𑀺𑀫𑁃𑀮𑀺 𑀫𑁅𑀬𑀺𑀢𑀺𑀢𑀼
வருதிரை தானுலாம் வார்மணல் கானல்,𑀯𑀭𑀼𑀢𑀺𑀭𑁄 𑀢𑀸𑀦𑁆𑀦𑀼𑀮𑀸𑀫𑀺 𑀯𑀸𑀭𑀺𑀫𑀡𑀮𑀺 𑀓𑀸𑀦𑁆𑀦𑀮𑀺
ஒருதிரை ஓடா வளமை இருதிரை,𑀒𑀭𑀼𑀢𑀺𑀭𑁄 𑀓𑀝𑀸 𑀯𑀴𑀫𑁄 𑀇𑀭𑀼𑀢𑀺𑀭𑁄
முன்வீழுங் கானல் முழங்கு கடற்சேர்ப்ப,𑀫𑀼𑀦𑁆𑀦𑀺𑀯𑀻𑀰𑀼𑀗𑀺 𑀓𑀸𑀦𑁆𑀦𑀮𑀺 𑀫𑀼𑀰𑀗𑀺𑀓𑀼 𑀓𑀝𑀭𑁆𑀭𑀺𑀘𑁃𑀭𑀺𑀧𑀺𑀧
என்வீழல் வேண்டா இனி,𑀏𑀦𑁆𑀦𑀺𑀯𑀻𑀰𑀮𑀺 𑀯𑁃𑀡𑀺𑀝𑀸 𑀇𑀦𑁆𑀦𑀺
மாயவனும் தம்முனும் போலே மறிகடலும்,𑀫𑀸𑀬𑀯𑀦𑁆𑀦𑀼𑀫𑀺 𑀢𑀫𑀺𑀫𑀼𑀦𑁆𑀦𑀼𑀫𑀺 𑀧𑁆𑀮𑁃 𑀫𑀭𑁆𑀭𑀺𑀓𑀝𑀮𑀼𑀫𑀺
கானலும்சேர் வெண்மணலும் காணாயோ கானல்,𑀓𑀸𑀦𑁆𑀦𑀮𑀼𑀫𑀺𑀘𑁃𑀭𑀺 𑀯𑁂𑀡𑀺𑀫𑀡𑀮𑀼𑀫𑀺 𑀓𑀸𑀡𑀸𑀬𑁆 𑀓𑀸𑀦𑁆𑀦𑀮𑀺
இடையெலாம் ஞாழலும் தாழையும் ஆர்ந்த,𑀇𑀝𑁄𑀬𑁂𑀮𑀸𑀫𑀺 𑀜𑀸𑀰𑀮𑀼𑀫𑀺 𑀢𑀸𑀰𑁄𑀬𑀼𑀫𑀺 𑀆𑀭𑀺𑀦𑀺𑀢
புடையெலாம் புன்னை புகன்று,𑀧𑀼𑀝𑁄𑀬𑁂𑀮𑀸𑀫𑀺 𑀧𑀼𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄 𑀧𑀼𑀓𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
பகல்வரின் கவ்வை பலவாம் பரியாது,𑀧𑀓𑀮𑀺𑀯𑀭𑀺𑀦𑁆𑀦𑀺 𑀓𑀯𑀺𑀯𑁄 𑀧𑀮𑀯𑀸𑀫𑀺 𑀧𑀭𑀺𑀬𑀸𑀢𑀼
இரவரின் ஏதமும் அன்ன புகஅரிய,𑀇𑀭𑀯𑀭𑀺𑀦𑁆𑀦𑀺 𑀐𑀢𑀫𑀼𑀫𑀺 𑀅𑀦𑁆𑀦𑀺𑀦𑁆𑀦 𑀧𑀼𑀓𑀅𑀭𑀺𑀬
தாழை துவளும் தரங்கநீர்ச் சேர்ப்பிற்றே,𑀢𑀸𑀰𑁄 𑀢𑀼𑀯𑀴𑀼𑀫𑀺 𑀢𑀭𑀗𑀺𑀓𑀦𑀻𑀭𑀺𑀘𑀺 𑀘𑁃𑀭𑀺𑀧𑀺𑀧𑀺𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑁃
ஏழை நுளையர் இடம்,𑀐𑀰𑁄 𑀦𑀼𑀴𑁄𑀬𑀭𑀺 𑀇𑀝𑀫𑀺
திரையலறிப் பேராத் தெழியாத் திரியாக்,𑀢𑀺𑀭𑁄𑀬𑀮𑀭𑁆𑀭𑀺𑀧𑀺 𑀧𑁃𑀭𑀸𑀢𑀺 𑀢𑁂𑀰𑀺𑀬𑀸𑀢𑀺 𑀢𑀺𑀭𑀺𑀬𑀸𑀓𑀺
கரையலவன் காலினாற் கானாக் கரையருகே,𑀓𑀭𑁄𑀬𑀮𑀯𑀦𑁆𑀦𑀺 𑀓𑀸𑀮𑀺𑀦𑁆𑀦𑀸𑀭𑁆𑀭𑀺 𑀓𑀸𑀦𑁆𑀦𑀸𑀓𑀺 𑀓𑀭𑁄𑀬𑀭𑀼𑀓𑁃
நெய்தல் மலர்கொய்யும் நீள்நெடுங் கண்ணினாள்,𑀦𑁂𑀬𑀺𑀢𑀮𑀺 𑀫𑀮𑀭𑀺𑀓𑁅𑀬𑀺𑀬𑀼𑀫𑀺 𑀦𑀻𑀴𑀺𑀦𑁂𑀝𑀼𑀗𑀺 𑀓𑀡𑀺𑀡𑀺𑀦𑁆𑀦𑀸𑀴𑀺
மையல் நுளையர் மகள்,𑀫𑁄𑀬𑀮𑀺 𑀦𑀼𑀴𑁄𑀬𑀭𑀺 𑀫𑀓𑀴𑀺
அறிகுஅரிது யார்க்கும் அரவ நீர்ச் சேர்ப்ப,𑀅𑀭𑁆𑀭𑀺𑀓𑀼𑀅𑀭𑀺𑀢𑀼 𑀬𑀸𑀭𑀺𑀓𑀺𑀓𑀼𑀫𑀺 𑀅𑀭𑀯 𑀦𑀻𑀭𑀺𑀘𑀺 𑀘𑁃𑀭𑀺𑀧𑀺𑀧
நெறிதிரிவார் இன்மையால் இல்லை முறிதிரிந்த,𑀦𑁂𑀭𑁆𑀭𑀺𑀢𑀺𑀭𑀺𑀯𑀸𑀭𑀺 𑀇𑀦𑁆𑀦𑀺𑀫𑁄𑀬𑀸𑀮𑀺 𑀇𑀮𑀺𑀮𑁄 𑀫𑀼𑀭𑁆𑀭𑀺𑀢𑀺𑀭𑀺𑀦𑀺𑀢
கண்டலந்தண் டில்லை கலந்து கழிசூழ்ந்த,𑀓𑀡𑀺𑀝𑀮𑀦𑀺𑀢𑀡𑀺 𑀝𑀺𑀮𑀺𑀮𑁄 𑀓𑀮𑀦𑀺𑀢𑀼 𑀓𑀰𑀺𑀘𑀽𑀰𑀺𑀦𑀺𑀢
மிண்டலந்தண் தாழை இணைந்து,𑀫𑀺𑀡𑀺𑀝𑀮𑀦𑀺𑀢𑀡𑀺 𑀢𑀸𑀰𑁄 𑀇𑀡𑁄𑀦𑀺𑀢𑀼
